Tiempo,Inclinación pelvis::Y,Oblicuidad pelvis::Y,Rotación pelvis::Y,Inclinación pelvis (Normal):YInf,Inclinación pelvis (Normal):YSup,Oblicuidad pelvis (Normal):YInf,Oblicuidad pelvis (Normal):YSup,Rotación pelvis (Normal):YInf,Rotación pelvis (Normal):YSup,Tiempo,Flexo-extensión cadera derecha::Y,Flexo-extensión cadera izquierda::Y,Flexo-extensión cadera derecha (Normal):YInf,Flexo-extensión cadera derecha (Normal):YSup,Flexo-extensión cadera izquierda (Normal):YInf,Flexo-extensión cadera izquierda (Normal):YSup,Tiempo,Aducción-abducción cadera derecha::Y,Aducción-abducción cadera izquierda::Y,Aducción-abducción cadera derecha (Normal):YInf,Aducción-abducción cadera derecha (Normal):YSup,Aducción-abducción cadera izquierda (Normal):YInf,Aducción-abducción cadera izquierda (Normal):YSup,Tiempo,Rotación cadera derecha::Y,Rotación cadera izquierda::Y,Tiempo,Flexo-extensión rodilla derecha::Y,Flexo-extensión rodilla izquierda::Y,Flexo-extensión rodilla derecha (Normal):YInf,Flexo-extensión rodilla derecha (Normal):YSup,Flexo-extensión rodilla izquierda (Normal):YInf,Flexo-extensión rodilla izquierda (Normal):YSup,Tiempo,Abducción-aducción rodilla derecha::Y,Abducción-aducción rodilla izquierda::Y,Abducción-aducción rodilla derecha (Normal):YInf,Abducción-aducción rodilla derecha (Normal):YSup,Abducción-aducción rodilla izquierda (Normal):YInf,Abducción-aducción rodilla izquierda (Normal):YSup,Tiempo,Rotación rodilla derecha::Y,Rotación rodilla izquierda::Y,Tiempo,Inclinación pelvis::Y,Oblicuidad pelvis::Y,Rotación pelvis::Y,Tiempo,Flexo-extensión cadera derecha::Y,Flexo-extensión cadera izquierda::Y,Tiempo,Aducción-abducción cadera derecha::Y,Aducción-abducción cadera izquierda::Y,Tiempo,Rotación cadera derecha::Y,Rotación cadera izquierda::Y,Tiempo,Flexo-extensión rodilla derecha::Y,Flexo-extensión rodilla izquierda::Y,Tiempo,Abducción-aducción rodilla derecha::Y,Abducción-aducción rodilla izquierda::Y,Tiempo,Rotación rodilla derecha::Y,Rotación rodilla izquierda::Y,Tiempo,Inclinación pelvis::Y,Oblicuidad pelvis::Y,Rotación pelvis::Y,Tiempo,Flexo-extensión cadera derecha::Y,Flexo-extensión cadera izquierda::Y,Tiempo,Aducción-abducción cadera derecha::Y,Aducción-abducción cadera izquierda::Y,Tiempo,Rotación cadera derecha::Y,Rotación cadera izquierda::Y,Tiempo,Flexo-extensión rodilla derecha::Y,Flexo-extensión rodilla izquierda::Y,Tiempo,Abducción-aducción rodilla derecha::Y,Abducción-aducción rodilla izquierda::Y,Tiempo,Rotación rodilla derecha::Y,Rotación rodilla izquierda::Y
0,0.312178,0.0126228,0.207194,,,,,,,0,0.0800986,0.0674054,,,,,0,-0.0106708,0.0549406,,,,,0,0.0658763,0.425558,0,0.0654844,-0.133207,,,,,0,-0.0454826,0.012482,,,,,0,-0.450102,-0.070715,0,0.0117451,-0.0507173,-0.141472,0,0.0494983,-0.0218563,0,0.0050765,-0.00889134,0,0.328131,0.178991,0,-0.182601,-0.121454,0,0.0394231,-0.00188919,0,0.973129,0.691986,0,0.133811,0.0390125,-2.45663,0,0.390092,0.256537,0,-0.000443682,-0.74492,0,0.811869,0.390043,0,-1.33995,-0.215498,0,0.478646,-0.042727,0,1.6885,-1.116
0.00999725,0.312295,0.0121365,0.205999,,,,,,,0.00999725,0.0805585,0.0671931,,,,,0.00999725,-0.0106486,0.0549192,,,,,0.00999725,0.0628608,0.423896,0.00999725,0.0638185,-0.134347,,,,,0.00999725,-0.0451499,0.0124797,,,,,0.00999725,-0.44268,-0.06787,0.00999725,0.0117451,-0.0507173,-0.141472,0.00999725,0.0494983,-0.0218563,0.00999725,0.0050765,-0.00889134,0.00999725,0.328131,0.178991,0.00999725,-0.182601,-0.121454,0.00999725,0.0394231,-0.00188919,0.00999725,0.973129,0.691986,0.00999725,0.133811,0.0390125,-2.45663,0.00999725,0.390092,0.256537,0.00999725,-0.000443682,-0.74492,0.00999725,0.811869,0.390043,0.00999725,-1.33995,-0.215498,0.00999725,0.478646,-0.042727,0.00999725,1.6885,-1.116
0.0199945,0.312412,0.0116084,0.204365,,,,,,,0.0199945,0.0810886,0.0669682,,,,,0.0199945,-0.0105693,0.0547628,,,,,0.0199945,0.0593137,0.421978,0.0199945,0.0618324,-0.135636,,,,,0.0199945,-0.0446941,0.0124442,,,,,0.0199945,-0.434036,-0.0648621,0.0199945,0.0120252,-0.0538948,-0.187089,0.0199945,0.0565968,-0.0221115,0.0199945,0.0108094,-0.023506,0.0199945,0.376672,0.202531,0.0199945,-0.213729,-0.134541,0.0199945,0.0519384,-0.00517536,0.0199945,0.91629,0.578308,0.0199945,0.167089,0.0895515,-2.86777,0.0199945,0.475264,0.30023,0.0199945,-0.109704,-0.8195,0.0199945,0.347912,0.329951,0.0199945,-1.43931,-0.149956,0.0199945,0.40563,-0.0124643,0.0199945,0.8084,-1.4735
0.0299918,0.312535,0.0110586,0.202257,,,,,,,0.0299918,0.0816904,0.0667509,,,,,0.0299918,-0.0104324,0.0544491,,,,,0.0299918,0.0553273,0.419845,0.0299918,0.0595439,-0.137038,,,,,0.0299918,-0.0441112,0.0123762,,,,,0.0299918,-0.42438,-0.0618233,0.0299918,0.012961,-0.0549519,-0.235198,0.0299918,0.0639372,-0.0201728,0.0299918,0.0161141,-0.0398019,0.0299918,0.413956,0.221309,0.0299918,-0.242472,-0.143924,0.0299918,0.0643356,-0.00811936,0.0299918,1.3195,0.463104,0.0299918,0.197897,0.152335,-3.2107,0.0299918,0.556378,0.333309,0.0299918,-0.242307,-0.862676,0.0299918,-0.292447,0.238232,0.0299918,-1.46597,-0.0538364,0.0299918,0.276681,0.0286542,0.0299918,-0.397494,-1.82896
0.039989,0.312672,0.0105094,0.199661,,,,,,,0.039989,0.0823673,0.0665648,,,,,0.039989,-0.010247,0.0539668,,,,,0.039989,0.0510346,0.417552,0.039989,0.0569829,-0.138514,,,,,0.039989,-0.0434074,0.0122818,,,,,0.039989,-0.414004,-0.0588918,0.039989,0.0149012,-0.0537958,-0.283679,0.039989,0.0716437,-0.0158552,0.039989,0.0199704,-0.0565717,0.039989,0.436447,0.23413,0.039989,-0.267783,-0.149119,0.039989,0.0754533,-0.0101239,0.039989,1.51215,0.421906,0.039989,0.223468,0.226441,-3.45739,0.039989,0.629076,0.351064,0.039989,-0.390692,-0.869603,0.039989,-1.09277,0.121824,0.039989,-1.40796,0.0704035,0.039989,0.0913158,0.0796264,0.039989,-1.8884,-2.15537
0.0499863,0.312833,0.0099827,0.196584,,,,,,,0.0499863,0.0831233,0.0664338,,,,,0.0499863,-0.010033,0.0533177,,,,,0.0499863,0.0465984,0.415163,0.0499863,0.0541883,-0.140021,,,,,0.0499863,-0.0426021,0.0121737,,,,,0.0499863,-0.403269,-0.0561971,0.0499863,0.0180006,-0.0505382,-0.330299,0.0499863,0.0797343,-0.00940152,0.0499863,0.0213412,-0.0724778,0.0499863,0.44183,0.240237,0.0499863,-0.288904,-0.150032,0.0499863,0.0839474,-0.0106353,0.0499863,1.31607,0.431442,0.0499863,0.241113,0.31031,-3.58583,0.0499863,0.68948,0.349722,0.0499863,-0.543385,-0.839369,0.0499863,-2.01686,-0.00764653,0.0499863,-1.26001,0.217126,0.0499863,-0.144938,0.138399,0.0499863,-3.58502,-2.42485
0.0599835,0.313032,0.00949861,0.193055,,,,,,,0.0599835,0.083962,0.0663767,,,,,0.0599835,-0.00982017,0.0525172,,,,,0.0599835,0.042198,0.412747,0.0599835,0.0512049,-0.141515,,,,,0.0599835,-0.0417285,0.0120691,,,,,0.0599835,-0.392572,-0.0538456,0.0599835,0.0220999,-0.0454566,-0.373025,0.0599835,0.0880498,-0.00153743,0.0599835,0.0193999,-0.0862798,0.0599835,0.429166,0.239478,0.0599835,-0.305352,-0.146937,0.0599835,0.0884809,-0.00928454,0.0599835,1.13373,0.376511,0.0599835,0.248562,0.402035,-3.58139,0.0599835,0.734386,0.327171,0.0599835,-0.685583,-0.77532,0.0599835,-3.01057,-0.135398,0.0599835,-1.02417,0.37811,0.0599835,-0.420348,0.202121,0.0599835,-5.37523,-2.61229
0.0699808,0.313275,0.00907357,0.189123,,,,,,,0.0699808,0.0848843,0.066403,,,,,0.0699808,-0.00964499,0.0515921,,,,,0.0699808,0.0380151,0.410373,0.0699808,0.0480812,-0.142959,,,,,0.0699808,-0.0408325,0.011988,,,,,0.0699808,-0.382326,-0.0519094,0.0699808,0.0267312,-0.0389459,-0.410337,0.0699808,0.0962548,0.0066109,0.0699808,0.0137183,-0.0970218,0.0699808,0.398763,0.23248,0.0699808,-0.316866,-0.140392,0.0699808,0.0879472,-0.00598235,0.0699808,1.12343,0.250244,0.0699808,0.244263,0.499675,-3.43692,0.0699808,0.76128,0.283531,0.0699808,-0.800328,-0.684688,0.0699808,-4.00588,-0.245815,0.0699808,-0.709417,0.543531,0.0699808,-0.717601,0.26758,0.0699808,-7.12495,-2.69911
0.079978,0.313566,0.00871969,0.184848,,,,,,,0.079978,0.0858871,0.066509,,,,,0.079978,-0.00954581,0.0505768,,,,,0.079978,0.0342227,0.408098,0.079978,0.0448675,-0.144323,,,,,0.079978,-0.0399695,0.0119495,,,,,0.079978,-0.37292,-0.0504194,0.079978,0.0312135,-0.03146,-0.441433,0.079978,0.103928,0.013737,0.079978,0.00436702,-0.10415,0.079978,0.351903,0.220686,0.079978,-0.323322,-0.131132,0.079978,0.0816504,-0.000934536,0.079978,1.14441,-0.030899,0.079978,0.227578,0.601489,-3.15212,0.079978,0.768245,0.221387,0.079978,-0.870147,-0.577616,0.079978,-4.92686,-0.325058,0.079978,-0.330774,0.703102,0.079978,-1.01518,0.33172,0.079978,-8.69221,-2.67607
0.0899753,0.313899,0.00844437,0.180294,,,,,,,0.0899753,0.0869628,0.0666777,,,,,0.0899753,-0.00955765,0.0495091,,,,,0.0899753,0.030977,0.40596,0.0899753,0.0416148,-0.145582,,,,,0.0899753,-0.0391995,0.0119693,,,,,0.0899753,-0.364692,-0.0493645,0.0899753,0.03483,-0.0234336,-0.466236,0.0899753,0.110708,0.0186555,0.0899753,-0.00806586,-0.107568,0.0899753,0.290604,0.206187,0.0899753,-0.324647,-0.119935,0.0899753,0.0694163,0.00541783,0.0899753,1.08681,-0.357819,0.0899753,0.198828,0.706028,-2.73234,0.0899753,0.75378,0.145633,0.0899753,-0.878969,-0.465767,0.0899753,-5.69641,-0.363497,0.0899753,0.0921667,0.847151,0.0899753,-1.2893,0.392131,0.0899753,-9.94225,-2.54497
