BioWare Version 5.2.1.3 Export
Device:	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	7999	7999	7999
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	7.999000	7.999000	7.999000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	665.831970	665.831970	665.831970
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 22, 2014  12:05:31
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	1.881815	-0.249454	670.500366
0.001000	1.921907	-0.169651	670.340599
0.002000	1.842016	-0.169880	671.293869
0.003000	1.881815	-0.169880	670.657822
0.004000	1.882109	-0.090076	670.023438
0.005000	1.801926	-0.249687	671.452072
0.006000	1.922199	-0.090076	668.758301
0.007000	1.921907	-0.130093	670.499374
0.008000	1.961998	-0.169880	669.231003
0.009000	2.041595	-0.010727	670.023529
0.010000	1.921907	-0.130093	669.706367
0.011000	2.041595	-0.010727	669.073387
0.012000	2.041304	0.069077	669.390121
0.013000	2.041304	-0.090534	668.914268
0.014000	2.201084	0.108868	667.804703
0.015000	2.160992	0.029060	669.389305
0.016000	2.321066	0.108868	666.853493
0.017000	2.320480	0.148655	668.754173
0.018000	2.240883	0.068851	667.011360
0.019000	2.320480	0.188442	667.327278
0.020000	2.201084	0.108639	667.487961
0.021000	2.400663	0.268021	667.488449
0.022000	2.440754	0.308041	666.853645
0.023000	2.240883	0.148426	666.693481
0.024000	2.480553	0.347828	666.060135
0.025000	2.400663	0.268021	666.376320
0.026000	2.440754	0.347828	666.060135
0.027000	2.480553	0.347595	665.425522
0.028000	2.400663	0.268021	666.217537
0.029000	2.321066	0.347595	664.950157
0.030000	2.400663	0.347595	665.742760
0.031000	2.321066	0.267792	664.950157
0.032000	2.520645	0.427174	665.108360
0.033000	2.240883	0.347366	665.108360
0.034000	2.440754	0.467194	665.108360
0.035000	2.361156	0.427174	665.106628
0.036000	2.281267	0.466961	664.632996
0.037000	2.440754	0.586555	663.679718
0.038000	2.321358	0.586555	665.424278
0.039000	2.361156	0.626347	663.521027
0.040000	2.480846	0.746166	664.471489
0.041000	2.321358	0.626114	663.837433
0.042000	2.480846	0.745708	663.679390
0.043000	2.361450	0.825741	663.997368
0.044000	2.440754	0.905319	663.204781
0.045000	2.480846	0.985126	662.727364
0.046000	2.321066	0.945107	664.154755
0.047000	2.520937	1.064930	661.778366
0.048000	2.361156	1.064930	663.677338
0.049000	2.480846	1.104721	662.410530
0.050000	2.520645	1.184528	663.043770
0.051000	2.520645	1.104721	663.201485
0.052000	2.520645	1.184296	662.725632
0.053000	2.600534	1.224316	662.567917
0.054000	2.480553	1.184296	662.567429
0.055000	2.720221	1.463734	661.298401
0.056000	2.560444	1.343681	662.725723
0.057000	2.640331	1.543537	661.931717
0.058000	2.640331	1.503063	662.089775
0.059000	2.640331	1.543308	662.089432
0.060000	2.680130	1.623116	660.980850
0.061000	2.640039	1.742477	662.723907
0.062000	2.680422	1.702461	660.979118
0.063000	2.719929	1.902092	661.455299
0.064000	2.640039	1.742477	661.615982
0.065000	2.759436	1.902092	661.136406
0.066000	2.599947	1.862305	662.090431
0.067000	2.679838	1.942112	660.979607
0.068000	2.719929	1.942112	660.662872
0.069000	2.639746	1.942112	661.930237
0.070000	2.679838	1.942112	660.662285
0.071000	2.639746	1.981899	661.929420
0.072000	2.599947	1.942112	660.664017
0.073000	2.639746	1.982128	660.979607
0.074000	2.599947	1.902092	661.295853
0.075000	2.599655	1.942112	661.138138
0.076000	2.479673	1.902325	660.979607
0.077000	2.439875	1.822514	661.138138
0.078000	2.439875	1.862534	660.505157
0.079000	2.479673	1.822514	661.932060
0.080000	2.599947	1.782726	660.187508
0.081000	2.599655	1.782726	661.455460
0.082000	2.439581	1.702690	660.821892
0.083000	2.479673	1.703152	660.821892
0.084000	2.520058	1.742710	660.980095
0.085000	2.479673	1.663136	660.347931
0.086000	2.639746	1.703152	659.712311
0.087000	2.399782	1.583324	661.455460
0.088000	2.639746	1.663136	659.554924
0.089000	2.479673	1.583324	660.980682
0.090000	2.479673	1.623344	659.873383
0.091000	2.599655	1.663361	658.920792
0.092000	2.479673	1.543770	660.982315
0.093000	2.479673	1.583557	658.922516
0.094000	2.479673	1.663361	660.348419
0.095000	2.320187	1.463963	659.713699
0.096000	2.559856	1.623344	659.396881
0.097000	2.280096	1.503750	660.030769
0.098000	2.359985	1.543770	659.872238
0.099000	2.400078	1.543999	659.874458
0.100000	2.280096	1.463963	660.349823
0.101000	2.320187	1.424404	659.239166
0.102000	2.320187	1.463963	660.506783
0.103000	2.240297	1.344368	659.081451
0.104000	2.320187	1.463963	660.031837
0.105000	2.200205	1.264793	659.557297
0.106000	2.240297	1.344597	659.715012
0.107000	2.120607	1.184757	660.032661
0.108000	2.120607	1.225002	659.081604
0.109000	2.240297	1.144966	658.607574
0.110000	2.080809	1.104950	660.666229
0.111000	2.080809	1.025375	659.081116
0.112000	2.160700	1.025375	660.508514
0.113000	2.080809	0.906010	658.924728
0.114000	2.080809	0.945797	659.399246
0.115000	2.080809	0.826202	660.191353
0.116000	2.041010	0.866222	659.875099
0.117000	2.120901	0.906010	659.399246
0.118000	1.961121	0.746399	660.350800
0.119000	2.041010	0.786415	658.925629
0.120000	1.880938	0.706608	661.144623
0.121000	1.961121	0.706608	659.400902
0.122000	1.961121	0.706608	660.349556
0.123000	1.921322	0.627033	660.193489
0.124000	1.841724	0.627033	659.243279
0.125000	1.841139	0.587013	660.667107
0.126000	1.721743	0.507435	659.084167
0.127000	1.761541	0.627033	659.876755
0.128000	1.561962	0.507435	660.509819
0.129000	1.681652	0.587246	659.719040
0.130000	1.602055	0.427860	660.352608
0.131000	1.522163	0.467648	660.035286
0.132000	1.562256	0.547455	659.719040
0.133000	1.482365	0.427860	661.461845
0.134000	1.402769	0.467880	660.195221
0.135000	1.322880	0.507668	661.461845
0.136000	1.362679	0.308495	660.511955
0.137000	1.362970	0.507896	660.830513
0.138000	1.242989	0.348515	661.146759
0.139000	1.362679	0.388531	661.146759
0.140000	1.283081	0.348515	660.988228
0.141000	1.203190	0.348515	662.413727
0.142000	1.242989	0.428093	660.511139
0.143000	1.202898	0.268707	662.730133
0.144000	1.242989	0.348515	661.303970
0.145000	1.362679	0.308727	662.094025
0.146000	1.242697	0.268707	662.094337
0.147000	1.282495	0.308727	662.728401
0.148000	1.362679	0.268707	662.569870
0.149000	1.442274	0.189129	663.044319
0.150000	1.521872	0.228920	661.936310
0.151000	1.322586	0.109097	663.677399
0.152000	1.561962	0.189129	662.725861
0.153000	1.561670	0.189129	663.834297
0.154000	1.641560	0.189129	663.359749
0.155000	1.760956	0.189129	663.674850
0.156000	1.840847	0.029289	663.991096
0.157000	1.840847	0.189129	663.991684
0.158000	1.961121	0.229149	664.149300
0.159000	1.800755	0.069309	664.306786
0.160000	2.040718	0.268940	663.991096
0.161000	2.000334	0.109097	664.781723
0.162000	2.240004	0.228920	664.148483
0.163000	2.240004	0.308727	664.305870
0.164000	2.199913	0.268707	665.574150
0.165000	2.280096	0.308727	664.464401
0.166000	2.359692	0.348515	665.889236
0.167000	2.319895	0.148888	664.463913
0.168000	2.439581	0.428551	665.253609
0.169000	2.399782	0.308495	665.569855
0.170000	2.599070	0.468109	665.571587
0.171000	2.439581	0.428093	665.569527
0.172000	2.519472	0.428093	665.571587
0.173000	2.719051	0.468109	664.619560
0.174000	2.599070	0.428093	666.678787
0.175000	2.719051	0.507896	664.619560
0.176000	2.719051	0.587704	666.044891
0.177000	2.719051	0.507896	665.251884
0.178000	2.759142	0.627720	665.569527
0.179000	2.759142	0.627491	665.728973
0.180000	2.798941	0.627720	665.885773
0.181000	2.878832	0.787334	665.251884
0.182000	2.719051	0.587704	666.679276
0.183000	2.918922	0.787334	664.617081
0.184000	2.798941	0.787334	666.361137
0.185000	2.879124	0.787334	665.093681
0.186000	2.999105	0.946712	665.887177
0.187000	2.839033	0.787334	665.570442
0.188000	2.879124	0.986504	665.412140
0.189000	2.879416	1.106327	665.411812
0.190000	2.799526	0.906696	665.411324
0.191000	2.959013	1.106560	664.779083
0.192000	2.759436	0.986732	665.728317
0.193000	2.959307	1.066540	664.621368
0.194000	2.879416	1.106560	665.570930
0.195000	2.679838	0.986732	665.572906
0.196000	2.839617	1.066540	663.987083
0.197000	2.799526	1.066540	665.890228
0.198000	2.719929	0.986732	664.463745
0.199000	2.799526	1.146347	665.256332
0.200000	2.600241	0.827351	665.099373
0.201000	2.720221	0.986732	664.782700
0.202000	2.600241	0.827351	665.256660
0.203000	2.600534	0.827351	665.258392
0.204000	2.600241	0.827351	664.466293
0.205000	2.480553	0.787560	665.892769
0.206000	2.520937	0.707985	664.309883
0.207000	2.440754	0.747772	665.418480
0.208000	2.361156	0.548145	664.152596
0.209000	2.401249	0.707985	664.786972
0.210000	2.321358	0.468567	664.469002
0.211000	2.321358	0.468567	664.628441
0.212000	2.321358	0.548603	664.628441
0.213000	2.241468	0.348976	664.629257
0.214000	2.321358	0.348976	663.520920
0.215000	2.201670	0.348976	665.739914
0.216000	2.321651	0.269398	663.679451
0.217000	2.241468	0.349201	664.788864
0.218000	2.201670	0.229378	664.157356
0.219000	2.242054	0.189590	663.839378
0.220000	2.241760	0.149574	664.315231
0.221000	2.201962	0.030209	664.156113
0.222000	2.242054	0.150032	663.522224
0.223000	2.161871	-0.049599	664.631966
0.224000	2.321651	-0.009579	662.890892
0.225000	2.201962	-0.049599	663.842102
0.226000	2.241760	-0.009579	663.367882
0.227000	2.242054	-0.129177	662.575218
0.228000	2.242054	-0.208752	663.682983
0.229000	2.122364	-0.328571	663.049675
0.230000	2.241760	-0.248539	663.526672
0.231000	2.082273	-0.448170	662.894020
0.232000	2.201962	-0.408150	662.892776
0.233000	2.082273	-0.527973	663.210426
0.234000	2.201962	-0.527744	663.210426
0.235000	2.082273	-0.527744	663.368629
0.236000	2.082273	-0.727146	663.845718
0.237000	2.201962	-0.806950	662.418816
0.238000	2.201670	-0.806950	664.320770
0.239000	2.201962	-0.886528	662.735062
0.240000	2.281559	-0.886761	663.530380
0.241000	2.241760	-1.006123	663.371269
0.242000	2.281559	-1.006123	663.052383
0.243000	2.281559	-1.125946	663.210098
0.244000	2.321358	-1.125946	663.687187
0.245000	2.520937	-1.045914	662.259132
0.246000	2.401249	-1.245541	664.637177
0.247000	2.640625	-1.205521	662.576683
0.248000	2.600534	-1.245541	664.320435
0.249000	2.600534	-1.325119	662.894333
0.250000	2.680422	-1.245308	663.526184
0.251000	2.640039	-1.484730	663.684723
0.252000	2.719929	-1.444710	664.160988
0.253000	2.879709	-1.404694	663.209122
0.254000	2.719929	-1.604324	664.478638
0.255000	2.999691	-1.524517	663.209763
0.256000	2.879416	-1.724148	665.110474
0.257000	2.959307	-1.644112	663.683899
0.258000	2.999105	-1.644112	664.635208
0.259000	2.959013	-1.803951	664.793976
0.260000	2.999105	-1.923317	664.001640
0.261000	3.038904	-1.883759	665.109894
0.262000	2.999105	-2.003124	664.477005
0.263000	3.238483	-1.883301	665.110809
0.264000	3.038904	-2.082928	665.901588
0.265000	3.278574	-2.042912	665.110809
0.266000	3.198977	-2.082703	666.059792
0.267000	3.198977	-2.202526	665.902405
0.268000	3.198977	-2.242081	665.108574
0.269000	3.198977	-2.202526	667.010086
0.270000	3.238483	-2.282101	665.901588
0.271000	3.278574	-2.162506	667.167801
0.272000	3.158886	-2.401695	666.376854
0.273000	3.198977	-2.321892	666.218323
0.274000	3.159178	-2.401695	667.010414
0.275000	3.159178	-2.441483	667.010414
0.276000	3.198977	-2.361679	666.535477
0.277000	2.999105	-2.401695	668.437645
0.278000	3.079288	-2.521519	666.378418
0.279000	2.919214	-2.401695	668.754715
0.280000	2.959307	-2.521519	666.379234
0.281000	2.959307	-2.361679	667.806725
0.282000	2.839617	-2.441483	667.806473
0.283000	2.839617	-2.441483	667.806473
0.284000	2.839617	-2.361908	667.491135
0.285000	2.680130	-2.481731	667.808533
0.286000	2.720221	-2.321892	665.906860
0.287000	2.520645	-2.401695	668.126175
0.288000	2.560736	-2.321892	666.067032
0.289000	2.480553	-2.281872	667.650818
0.290000	2.361156	-2.282101	667.020149
0.291000	2.361156	-2.202065	666.703079
0.292000	2.281559	-2.242081	667.654037
0.293000	2.201670	-2.282101	666.545784
0.294000	2.281853	-2.002892	666.546341
0.295000	2.042475	-2.082703	667.021049
0.296000	2.122364	-1.843052	665.754730
0.297000	2.002676	-1.963104	666.389534
0.298000	2.002676	-1.883301	666.232147
0.299000	2.002968	-1.803265	665.755974
0.300000	1.923079	-1.723686	667.340080
0.301000	1.883280	-1.683670	665.283157
0.302000	1.923370	-1.564075	666.549698
0.303000	1.803976	-1.604095	665.442833
0.304000	1.803976	-1.404694	665.600220
0.305000	1.684288	-1.444481	666.235840
0.306000	1.724379	-1.325119	665.602760
0.307000	1.724672	-1.205067	665.444557
0.308000	1.605276	-1.205067	665.762695
0.309000	1.645367	-1.125256	663.862930
0.310000	1.565477	-1.085468	666.397835
0.311000	1.485880	-1.085468	664.021950
0.312000	1.565769	-0.925858	665.132607
0.313000	1.326687	-0.965645	664.975227
0.314000	1.446665	-0.885841	664.658066
0.315000	1.366777	-0.806030	664.500351
0.316000	1.287180	-0.846050	664.344208
0.317000	1.367069	-0.606403	663.393639
0.318000	1.127693	-0.725998	665.136787
