BioWare Version 5.1.1.0 Export
Device:	Kistler Grande2 9287BA	Kistler Grande2 9287BA
Samples (#):	500	500
Rate (Hz):	50.000000	50.000000
Contact period start (sample #):	0	0
Contact period end (sample #):	499	499
Contact period start time (s):	0.000000	0.000000
Contact period end time (s):	9.980000	9.980000
First sample time (s):	0.000000	0.000000
Normalized force (N):	689.334961	689.334961
Normalized length (m):	1000.000000	1000.000000
File Information
Date	Nov 09, 2012  09:39:44
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay
	m	m
0.000000	0.013748	0.010516
0.020000	0.012769	0.010327
0.040000	0.010753	0.009611
0.060000	0.007601	0.007211
0.080000	0.003956	0.004876
0.100000	0.001129	0.002332
0.120000	0.000128	-0.000343
0.140000	0.001455	-0.002904
0.160000	0.001729	-0.006323
0.180000	0.001493	-0.008919
0.200000	0.002006	-0.011907
0.220000	0.001987	-0.015596
0.240000	0.002562	-0.017588
0.260000	0.002718	-0.019110
0.280000	0.002441	-0.019624
0.300000	0.002489	-0.019229
0.320000	0.001340	-0.017582
0.340000	-0.000865	-0.014501
0.360000	-0.004862	-0.010047
0.380000	-0.008514	-0.005557
0.400000	-0.009472	-0.003513
0.420000	-0.009721	-0.004009
0.440000	-0.010351	-0.006524
0.460000	-0.010066	-0.010064
0.480000	-0.010541	-0.013588
0.500000	-0.011424	-0.016826
0.520000	-0.010591	-0.019308
0.540000	-0.008859	-0.020945
0.560000	-0.006670	-0.022336
0.580000	-0.003643	-0.023246
0.600000	-0.001053	-0.023530
0.620000	0.000713	-0.023666
0.640000	0.001524	-0.023653
0.660000	0.002214	-0.023574
0.680000	0.002947	-0.023248
0.700000	0.002996	-0.022771
0.720000	0.002184	-0.022320
0.740000	0.001402	-0.022096
0.760000	0.002064	-0.021697
0.780000	0.004600	-0.021264
0.800000	0.008117	-0.020142
0.820000	0.013280	-0.018986
0.840000	0.019779	-0.018882
0.860000	0.024488	-0.019720
0.880000	0.025600	-0.020595
0.900000	0.024769	-0.021083
0.920000	0.023929	-0.021110
0.940000	0.021914	-0.020160
0.960000	0.015609	-0.016804
0.980000	0.008800	-0.011948
1.000000	0.003030	-0.007433
1.020000	-0.002438	-0.003978
1.040000	-0.006633	-0.001540
1.060000	-0.008766	0.000456
1.080000	-0.008599	0.002427
1.100000	-0.006973	0.004311
1.120000	-0.005593	0.005506
1.140000	-0.005030	0.006383
1.160000	-0.005003	0.007050
1.180000	-0.004799	0.006813
1.200000	-0.002768	0.005304
1.220000	0.000526	0.002160
1.240000	0.003297	-0.004393
1.260000	0.004450	-0.010968
1.280000	0.006740	-0.015051
1.300000	0.010945	-0.017576
1.320000	0.014962	-0.018706
1.340000	0.017811	-0.018538
1.360000	0.018883	-0.017441
1.380000	0.017891	-0.015011
1.400000	0.015362	-0.011696
1.420000	0.012278	-0.007476
1.440000	0.010247	-0.003087
1.460000	0.008876	0.000732
1.480000	0.006904	0.003631
1.500000	0.004761	0.005654
1.520000	0.003260	0.007046
1.540000	0.002471	0.007842
1.560000	0.002621	0.008686
1.580000	0.003494	0.009506
1.600000	0.004935	0.009880
1.620000	0.006568	0.009802
1.640000	0.008123	0.009855
1.660000	0.009289	0.009982
1.680000	0.009980	0.010311
1.700000	0.010942	0.010999
1.720000	0.012257	0.011627
1.740000	0.013165	0.012454
1.760000	0.014085	0.013242
1.780000	0.015806	0.013663
1.800000	0.017785	0.013946
1.820000	0.018980	0.014384
1.840000	0.019355	0.014728
1.860000	0.019461	0.014952
1.880000	0.019042	0.015020
1.900000	0.017497	0.015212
1.920000	0.015413	0.015397
1.940000	0.014304	0.015218
1.960000	0.014078	0.015359
1.980000	0.014337	0.015653
2.000000	0.015482	0.015000
2.020000	0.016792	0.013957
2.040000	0.018152	0.012867
2.060000	0.019073	0.012023
2.080000	0.019773	0.011206
2.100000	0.019648	0.010529
2.120000	0.019591	0.010414
2.140000	0.020986	0.010681
