BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	37	37	37	0	0	0
Contact period end (sample #):	7999	7999	7999	7999	7999	7999
Contact period start time (s):	0.037000	0.037000	0.037000	0.000000	0.000000	0.000000
Contact period end time (s):	7.999000	7.999000	7.999000	7.999000	7.999000	7.999000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.086868	0.086868	0.086868	0.086868	0.086868	0.086868
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	May 10, 2023  12:26:05
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.000000	1.052595	0.908952	7.819648	-10.481329	-27.415206	706.158540
0.001000	0.288129	0.346991	2.506255	-8.484076	-26.334727	724.540572
0.002000	-0.558126	-0.575281	-3.901198	-9.722813	-26.975009	715.348483
0.003000	0.489368	0.547312	3.913260	-10.042372	-27.095065	713.766083
0.004000	-0.316396	-0.053650	-1.868276	-9.802996	-26.934993	717.409189
0.005000	0.690203	0.627529	5.473950	-10.082756	-27.134853	715.031417
0.006000	0.529859	0.627529	4.068803	-8.205194	-26.174423	731.355781
0.007000	-0.115157	-0.134310	-0.778049	-11.121325	-27.575047	709.804188
0.008000	0.408388	0.346991	3.133145	-10.682077	-27.375190	712.497573
0.009000	-0.195330	-0.054093	-1.087445	-8.285378	-26.134635	733.258964
0.010000	-0.396973	-0.174197	-2.025421	-11.081821	-27.535030	712.341094
0.011000	1.012914	1.069386	7.507845	-11.241306	-27.695103	709.174268
0.012000	0.489368	0.427208	3.600572	-9.323948	-26.694884	725.655543
0.013000	0.850952	0.667416	7.039454	-10.442699	-27.254906	717.734683
0.014000	0.126572	0.226887	1.101189	-10.322718	-27.175101	718.212109
0.015000	-0.396973	-0.254414	-2.495167	-9.962774	-26.975009	722.650612
0.016000	0.811270	0.828293	6.257985	-10.322426	-27.294922	718.213936
0.017000	0.328215	0.427208	2.974567	-8.644735	-26.334727	733.114797
0.018000	0.529050	0.386878	3.756115	-11.121325	-27.575278	714.417506
0.019000	1.173258	1.068500	9.382825	-10.961548	-27.575047	713.784281
0.020000	-0.437463	-0.335516	-2.807847	-8.684534	-26.454548	732.644316
0.021000	0.488560	0.346549	3.598890	-10.881657	-27.535030	714.897747
0.022000	0.045996	0.306661	1.100304	-11.041729	-27.615067	712.683457
0.023000	-0.276310	-0.094423	-1.088250	-9.203966	-26.654640	728.689906
0.024000	0.971615	0.867737	7.976793	-10.242243	-27.254678	719.817873
0.025000	0.367493	0.386878	2.973682	-9.802996	-27.014569	722.515863
0.026000	-0.196542	-0.295629	-1.245475	-9.802996	-26.974553	723.624959
0.027000	0.328215	0.466652	2.976885	-10.481621	-27.374730	716.971923
0.028000	-0.356887	-0.214970	-2.650542	-8.364389	-26.214443	734.089442
0.029000	0.689799	0.626644	5.162872	-10.521420	-27.494782	716.024909
0.030000	0.448474	0.546869	3.286450	-10.920868	-27.654855	712.066408
0.031000	0.005101	0.065125	0.159928	-8.444277	-26.414532	732.193237
0.032000	0.528646	0.586756	4.069520	-10.161768	-27.374730	717.296679
0.033000	-0.156052	-0.054978	-0.617700	-10.680906	-27.575047	713.021250
0.034000	0.045591	0.025238	0.004385	-9.003216	-26.774693	727.600441
0.035000	0.771184	0.866851	5.947067	-9.681841	-27.214890	721.107159
0.036000	0.247235	0.385993	2.192850	-9.002924	-26.934765	726.338430
0.037000	1.373689	1.107945	10.320722	-9.641750	-27.254678	723.009425
0.038000	0.085678	0.145342	0.786013	-10.560633	-27.854943	713.977623
0.039000	-0.437868	-0.376289	-2.650542	-8.123840	-26.654640	735.055432
0.040000	0.608818	0.586314	4.537832	-10.520542	-27.894959	716.354671
0.041000	0.166254	0.385993	2.038192	-11.079477	-28.335156	710.809891
0.042000	0.608818	0.506097	4.848582	-8.602888	-27.174642	730.617843
